"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL278172";"BENZOCAINE";"4";"165.19";"0";"1.45";"BENZOCAINE";"CCOC(=O)c1ccc(N)cc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909145";"DRUGMATRIX: Estrogen ERalpha radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";""
"CHEMBL370039";"";"0";"268.27";"0";"3.27";"BDBM50166898";"O=C(Cc1cc2ccccc2o1)c1ccc(O)cc1O";"IC50";"'='";"85700.0";"nM";"4.07";"";"221281";"UO_0000065";"15.16";"0.28";"0.80";"5.75";"False";"CHEMBL3705080";"Binding Assay: The binding affinity and selectivity of candidate molecules yielded from database screening were determined by a fluorescent polarization competitive binding assay using purified baculovirus-expressed human ER beta or ER alpha and a fluorescent estrogen ligand EL Red (PanVera Corp.).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639035";"37";"BindingDB Database";"";"2013";"None";""
"CHEMBL3774737";"";"0";"431.48";"0";"4.39";"20";"COC[C@H](C)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc(O)cc2C[C@H]1C";"IC50";"'='";"1.2";"nM";"8.92";"";"";"UO_0000065";"20.67";"0.39";"4.53";"12.74";"False";"CHEMBL3776153";"Downregulation of ERalpha in human MCF7 cells incubated for 18 to 22 hrs by immunofluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3774369";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2016";"CHEMBL3308403";""
"CHEMBL3775116";"";"0";"379.50";"0";"4.87";"14b";"CC(C)CN1[C@@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2CC1(C)C";"IC50";"'='";"960.0";"nM";"6.02";"";"";"UO_0000065";"15.86";"0.29";"1.15";"9.90";"False";"CHEMBL3776150";"Displacement of fluormone ES2 from GST-tagged recombinant human ERalpha LBD after 1 hr by Lanthascreen TR-FRET assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3774369";"1";"Scientific Literature";"ACS Med. Chem. Lett.";"2016";"None";""
"CHEMBL3914943";"";"0";"461.63";"1";"5.11";"12";"CN(C)CCOc1ccc(C(=C(C#N)c2cccs2)c2ccc(OCCN(C)C)cc2)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3863076";"Displacement of Fluormone ES2 Green from human recombinant full length ERalpha expressed in insect cells measured up to 4 hrs by fluorescence polarization assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3861995";"1";"Scientific Literature";"Bioorg Med Chem";"2016";"None";""
"CHEMBL1597831";"";"0";"540.73";"2";"6.32";"SID48410355";"O=C(CCCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCC(N(Cc2ccccc2)c2ccccc2)CC1";"IC50";"'='";"120.0";"nM";"6.92";"";"Not Active";"UO_0000065";"12.80";"0.24";"0.60";"11.28";"False";"CHEMBL1614214";"PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors ELISA Secondary Assay. (Class of assay: confirmatory) [Related pubchem assays: 713 (Primary dose response assay preceding this ELISA secondary assay.), 629 (Primary screen preceding this dose response confirmation assay.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1455849";"";"0";"481.58";"0";"3.88";"SID48410357";"O=C(CCCCCn1c(=S)[nH]c2ccccc2c1=O)N1CCN(c2cccc([N+](=O)[O-])c2)CC1";"IC50";"'='";"840.0";"nM";"6.08";"";"Not Active";"UO_0000065";"12.62";"0.24";"2.20";"5.82";"False";"CHEMBL1614214";"PUBCHEM_BIOASSAY: Estrogen Receptor-alpha Coactivator Binding Inhibitors ELISA Secondary Assay. (Class of assay: confirmatory) [Related pubchem assays: 713 (Primary dose response assay preceding this ELISA secondary assay.), 629 (Primary screen preceding this dose response confirmation assay.)]";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL83";"TAMOXIFEN";"4";"371.52";"1";"6.00";"Tamoxifen";"CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1";"IC50";"'='";"8.4";"nM";"8.08";"";"";"UO_0000065";"21.74";"0.39";"2.08";"64.76";"False";"CHEMBL673859";"Displacement of radioligand from Estrogen receptor alpha";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135566";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL3936897";"";"0";"612.60";"1";"4.59";"6b.2HCl";"Cl.Cl.N#CC(=C(c1ccc(OCCN2CCOCC2)cc1)c1ccc(OCCN2CCOCC2)cc1)c1ccccc1";"IC50";"'='";"553.0";"nM";"6.26";"";"";"UO_0000065";"11.59";"0.21";"1.67";"9.31";"False";"CHEMBL3863076";"Displacement of Fluormone ES2 Green from human recombinant full length ERalpha expressed in insect cells measured up to 4 hrs by fluorescence polarization assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3861995";"1";"Scientific Literature";"Bioorg Med Chem";"2016";"None";""
"CHEMBL93326";"";"0";"337.30";"0";"3.13";"9d";"O=C(N1CCc2cc(O)ccc2[C@H]1c1ccc(O)cc1)C(F)(F)F";"IC50";"'='";"53.6";"nM";"7.27";"";"";"UO_0000065";"21.56";"0.41";"4.14";"11.96";"False";"CHEMBL679891";"In vitro concentration required to inhibit [3H]estradiol binding to human estrogen receptor alpha expressed in 293T cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"293T";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146753";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL328475";"";"0";"528.67";"2";"5.36";"11h";"O=S(=O)(c1ccc2ccccc2c1)N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCCC2)cc1";"IC50";"'='";"112.0";"nM";"6.95";"";"";"UO_0000065";"13.15";"0.25";"1.59";"9.92";"False";"CHEMBL679891";"In vitro concentration required to inhibit [3H]estradiol binding to human estrogen receptor alpha expressed in 293T cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"293T";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146753";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL316003";"";"0";"483.61";"1";"7.12";"9b";"CCc1c(-c2ccc(O)cc2)oc(-c2ccc(O)cc2)c1-c1ccc(OCCN2CCCCC2)cc1";"IC50";"'='";"65.0";"nM";"7.19";"";"";"UO_0000065";"14.86";"0.27";"0.07";"10.88";"False";"CHEMBL679894";"Inhibitory activity against Estrogen receptor alpha";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133963";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2001";"None";""
"CHEMBL484451";"";"0";"250.39";"0";"3.17";"18a";"CCc1cc(NCC(C)C)nc(NCC(C)C)n1";"IC50";"'='";"7300.0";"nM";"5.14";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1028198";"Antagonist activity at ERalpha in human HEC1 cells assessed as inhibition of estrogen-induced transcriptional activity after 24 hrs by reporter gene assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEC-1";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140106";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3308740";""
"CHEMBL522206";"";"0";"392.51";"1";"5.87";"2b";"C(=C/c1cc(NCc2ccccc2)nc(NCc2ccccc2)n1)\c1ccccc1";"IC50";"'>'";"1000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1028198";"Antagonist activity at ERalpha in human HEC1 cells assessed as inhibition of estrogen-induced transcriptional activity after 24 hrs by reporter gene assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEC-1";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140106";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3308740";""
"CHEMBL25719";"GERANIOL";"0";"154.25";"0";"2.67";"4";"CC(C)=CCC/C(C)=C/CO";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909145";"DRUGMATRIX: Estrogen ERalpha radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";""
"CHEMBL52440";"DEXTROMETHORPHAN";"4";"271.40";"0";"3.38";"DEXTROMETHORPHAN";"COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909145";"DRUGMATRIX: Estrogen ERalpha radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";""
"CHEMBL6466";"COUMARIN";"4";"146.14";"0";"1.79";"SID74390";"O=c1ccc2ccccc2o1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909145";"DRUGMATRIX: Estrogen ERalpha radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";""
"CHEMBL135";"ESTRADIOL";"4";"272.39";"0";"3.61";"17-beta-Estradiol";"C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O";"IC50";"'='";"46.0";"nM";"7.34";"";"";"UO_0000065";"26.94";"0.50";"3.73";"18.13";"False";"CHEMBL1663610";"Inhibition of human estrogen receptor beta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1649335";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"None";""
"CHEMBL13";"METOPROLOL";"4";"267.37";"0";"1.61";"metoprolol";"COCCc1ccc(OCC(O)CNC(C)C)cc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909145";"DRUGMATRIX: Estrogen ERalpha radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";""
"CHEMBL20";"ACETAZOLAMIDE";"4";"222.25";"0";"-0.86";"AZ";"CC(=O)Nc1nnc(S(N)(=O)=O)s1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909145";"DRUGMATRIX: Estrogen ERalpha radioligand binding (ligand: [3H] Estradiol)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3308860";""
"CHEMBL98";"VORINOSTAT";"4";"264.32";"0";"2.47";"SAHA";"O=C(CCCCCCC(=O)Nc1ccccc1)NO";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL3736956";"Antagonist activity at luciferase-fused ERalpha in human HEK293 cells expressing eYFP assessed as reduction of E2-induced estrogenic activity after 2 hrs by BRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3734665";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2015";"CHEMBL3307715";""
"CHEMBL3735770";"";"0";"608.85";"2";"7.15";"27; RMS-575";"CCCCN(O)C(=O)c1cccc(NC(=O)CCCCCS[C@@H]2Cc3cc(O)ccc3[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]32)c1";"IC50";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"11.99";"0.23";"0.15";"6.63";"False";"CHEMBL3736956";"Antagonist activity at luciferase-fused ERalpha in human HEK293 cells expressing eYFP assessed as reduction of E2-induced estrogenic activity after 2 hrs by BRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3734665";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2015";"CHEMBL3307715";""
"CHEMBL98";"VORINOSTAT";"4";"264.32";"0";"2.47";"SAHA";"O=C(CCCCCCC(=O)Nc1ccccc1)NO";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL3736957";"Antagonist activity at ERalpha in human T47D-KBLuc cells assessed as inhibition of E2-induced transcriptional activity by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"T47D";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3734665";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2015";"CHEMBL3307606";""
"CHEMBL4168979";"";"0";"495.79";"1";"9.00";"PBP-NC10";"CCCCCCCCCCNCCOc1ccc(C(CCC)(CCC)c2ccc(O)c(C)c2)cc1C";"IC50";"'='";"4.9";"nM";"8.31";"";"";"UO_0000065";"16.76";"0.32";"-0.69";"20.03";"False";"CHEMBL4138592";"Displacement of Fluormone ES2 Green from full-length untagged human ERalpha expressed in insect cells after 2 hrs by fluorescence polarization assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4138058";"1";"Scientific Literature";"MedChemComm";"2017";"None";""
"CHEMBL4161695";"";"0";"429.52";"1";"5.25";"14a";"CC1=C(c2cccc(O)c2)C(c2ccc(OCCN3CCC3)cc2)Oc2ccc(O)cc21";"IC50";"'='";"0.3";"nM";"9.52";"";"";"UO_0000065";"22.17";"0.41";"4.27";"15.32";"False";"CHEMBL4151744";"Induction of ERalpha degradation in human MCF7 cells in phenol red free RPMI medium containing 5% charcoal dextran-treated FBS incubated for 4 hrs by SP1 and anti-ER rabbit monocolnal antibody based in-cell Western assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4145684";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4164133";"";"0";"471.60";"1";"6.27";"14na";"CC1=C(c2cccc(O)c2)[C@H](c2ccc(OC[C@H](C)N3CC[C@@H](C)C3)cc2)Oc2ccc(O)cc21";"IC50";"'='";"0.1";"nM";"10.00";"";"";"UO_0000065";"21.20";"0.39";"3.73";"16.09";"True";"CHEMBL4151744";"Induction of ERalpha degradation in human MCF7 cells in phenol red free RPMI medium containing 5% charcoal dextran-treated FBS incubated for 4 hrs by SP1 and anti-ER rabbit monocolnal antibody based in-cell Western assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MCF7";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4145684";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL4165384";"";"0";"368.56";"1";"7.07";"PBP-C4";"CCCCOc1ccc(C(CCC)(CCC)c2ccc(O)c(C)c2)cc1C";"IC50";"'='";"87.0";"nM";"7.06";"";"";"UO_0000065";"19.16";"0.36";"-0.01";"23.97";"False";"CHEMBL4138592";"Displacement of Fluormone ES2 Green from full-length untagged human ERalpha expressed in insect cells after 2 hrs by fluorescence polarization assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4138058";"1";"Scientific Literature";"MedChemComm";"2017";"None";""
"CHEMBL2403363";"";"0";"340.51";"1";"6.11";"23";"CCCC(CCC)(c1ccc(O)c(CC)c1)c1ccc(O)c(CC)c1";"IC50";"'='";"490.0";"nM";"6.31";"";"";"UO_0000065";"18.53";"0.34";"0.20";"15.60";"False";"CHEMBL2406174";"Antagonist activity at human Gal4-ERalpha assessed as inhibition of 17beta-estradiol-induced effect by reporter gene assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL206";"Estrogen receptor alpha";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2401681";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None";""
